dat,clos
2001-02-28,158.1
2001-03-01,155.42
2001-03-02,157.21
2001-03-05,160.74
2001-03-06,171.72
2001-03-07,172
2001-03-12,168.22
2001-03-13,166.71
2001-03-14,164.43
2001-03-15,164.39
2001-03-16,166
2001-03-19,170.26
2001-03-20,171.29
2001-03-21,166.27
2001-03-22,163.97
2001-03-23,168.48
2001-03-26,169.17
2001-03-27,168.66
2001-03-28,169.93
2001-03-29,166.19
2001-03-30,166.67
2001-04-02,164.38
2001-04-03,160.36
2001-04-04,156.29
2001-04-05,163.91
2001-04-06,164.9
2001-04-09,163.76
2001-04-10,168.8
2001-04-11,171.13
2001-04-12,170.89
2001-04-13,171.15
2001-04-16,168.94
2001-04-17,165.27
2001-04-18,171.86
2001-04-19,175.01
2001-04-20,171.89
2001-04-23,167.18
2001-04-24,169.05
2001-04-25,168.78
2001-04-26,173.47
2001-04-27,177.31
2001-05-03,182.37
2001-05-04,181.1
2001-05-07,184.81
2001-05-08,188.47
2001-05-10,190.71
2001-05-11,189.74
2001-05-14,187.61
2001-05-15,188.7
2001-05-16,188.88
2001-05-17,196.31
2001-05-18,198.25
2001-05-21,205.6
2001-05-22,206.4
2001-05-23,206.68
2001-05-24,206.02
2001-05-25,201.89
2001-05-28,199.9
2001-05-29,203.23
2001-05-30,203.6
2001-05-31,207.71
2001-06-01,210.96
2001-06-04,221.46
2001-06-05,218.01
2001-06-06,216.73
2001-06-07,212.32
2001-06-08,216.25
2001-06-13,215.11
2001-06-14,213.16
2001-06-15,215.16
2001-06-18,218.92
2001-06-19,223.55
2001-06-20,223.42
2001-06-21,228.17
2001-06-22,231.04
2001-06-25,227.51
2001-06-26,223.65
2001-06-27,222.86
2001-06-28,222.58
2001-06-29,219.4
2001-07-02,217.9
2001-07-03,215.18
2001-07-04,216.55
2001-07-05,221.39
2001-07-06,218.2
2001-07-09,211.87
2001-07-10,213.2
2001-07-11,204.15
2001-07-12,204.51
2001-07-13,202.73
2001-07-16,206.4
2001-07-17,204.69
2001-07-18,200.36
2001-07-19,199.35
2001-07-20,202.26
2001-07-23,202.51
2001-07-24,201.05
2001-07-25,203.82
2001-07-26,208.33
2001-07-27,206.99
2001-07-30,201.58
2001-07-31,200.64
2001-08-01,198.78
2001-08-02,200.04
2001-08-03,200.87
2001-08-06,197.21
2001-08-07,188.92
2001-08-08,189.1
2001-08-09,189.81
2001-08-10,191.62
2001-08-13,190.92
2001-08-14,194.1
2001-08-15,191.43
2001-08-16,186.11
2001-08-17,187.13
2001-08-20,185.92
2001-08-21,186.62
2001-08-22,187.34
2001-08-23,187.63
2001-08-24,190.35
2001-08-27,193.78
2001-08-28,195.03
2001-08-29,196.03
2001-08-30,194.36
2001-08-31,193.72
2001-09-03,197.69
2001-09-04,199.74
2001-09-05,197.33
2001-09-06,198.12
2001-09-07,196.53
2001-09-10,195.25
2001-09-11,195.58
2001-09-12,185.02
2001-09-13,186.17
2001-09-14,182.54
2001-09-17,177.3
2001-09-18,180.16
2001-09-19,184.7
2001-09-20,182.66
2001-09-21,174.86
2001-09-24,175.33
2001-09-25,168.51
2001-09-26,167.48
2001-09-27,165.44
2001-09-28,167.33
2001-10-01,168.19
2001-10-02,164.86
2001-10-03,160.1
2001-10-04,160.96
2001-10-05,160.04
2001-10-08,158.34
2001-10-09,161.83
2001-10-10,166.56
2001-10-11,171.79
2001-10-12,173.69
2001-10-15,171.38
2001-10-16,174.01
2001-10-17,179.1
2001-10-18,174.3
2001-10-19,172.71
2001-10-22,177.04
2001-10-23,179.3
2001-10-24,181.8
2001-10-25,180.78
2001-10-26,180.96
2001-10-29,182.61
2001-10-30,186.09
2001-10-31,187.41
2001-11-01,188.78
2001-11-02,190.04
2001-11-05,192.67
2001-11-06,191.78
2001-11-08,197.35
2001-11-09,205.13
2001-11-12,209.7
2001-11-13,216.39
2001-11-14,220.87
2001-11-15,205.93
2001-11-16,201.58
2001-11-19,206.05
2001-11-20,210.53
2001-11-21,207.96
2001-11-22,213.49
2001-11-23,213.82
2001-11-26,216.39
2001-11-27,217.13
2001-11-28,214.7
2001-11-29,209.03
2001-11-30,213.32
2001-12-03,212.41
2001-12-04,218.76
2001-12-05,221.41
2001-12-06,225.32
2001-12-07,222.41
2001-12-10,226.3
2001-12-11,227.83
2001-12-13,221.88
2001-12-14,215.03
2001-12-17,220.51
2001-12-18,222.57
2001-12-19,225.85
2001-12-20,229.84
2001-12-21,228.05
2001-12-24,234.33
2001-12-25,231.63
2001-12-26,230.66
2001-12-27,233.35
2001-12-28,236.24
2002-01-03,246.79
2002-01-04,256.98
2002-01-08,268.01
2002-01-09,268.3
2002-01-10,265.38
2002-01-11,265.33
2002-01-14,258.19
2002-01-15,255.81
2002-01-16,258.91
2002-01-17,261.99
2002-01-18,266
2002-01-21,266.39
2002-01-22,272.07
2002-01-23,273.74
2002-01-24,263.08
2002-01-25,255.95
2002-01-28,255.91
2002-01-29,262.94
2002-01-30,256.82
2002-01-31,260.77
2002-02-01,262.13
2002-02-04,257.01
2002-02-05,255.02
2002-02-06,260.26
2002-02-07,265.11
2002-02-08,267.27
2002-02-11,267.31
2002-02-12,269.87
2002-02-13,266.37
2002-02-14,262.61
2002-02-15,262.22
2002-02-18,256.85
2002-02-19,257.23
2002-02-20,250.71
2002-02-21,255.34
2002-02-22,262.55
2002-02-26,268.88
2002-02-27,264.51
2002-02-28,262.65
2002-03-01,270.04
2002-03-04,278.75
2002-03-05,275.47
2002-03-06,274.39
2002-03-07,281.96
2002-03-11,279.32
2002-03-12,274.83
2002-03-13,278.42
2002-03-14,281.34
2002-03-15,287.37
2002-03-18,294.18
2002-03-19,294.09
2002-03-20,288.92
2002-03-21,290.64
2002-03-22,295.36
2002-03-25,293
2002-03-26,286.03
2002-03-27,292.36
2002-03-28,299.46
2002-03-29,302.96
2002-04-01,302.2
2002-04-02,301.23
2002-04-03,293.08
2002-04-04,293.47
2002-04-05,295.93
2002-04-08,296.88
2002-04-09,304.86
2002-04-10,311.33
2002-04-11,315.23
2002-04-12,314.5
2002-04-15,320.42
2002-04-16,324.99
2002-04-17,328.13
2002-04-18,336.64
2002-04-19,339.23
2002-04-22,341.55
2002-04-23,337.85
2002-04-24,339.77
2002-04-25,337.86
2002-04-26,343.23
2002-04-29,347.82
2002-04-30,343.33
2002-05-06,340.72
2002-05-07,328.81
2002-05-08,329.92
2002-05-13,328.96
2002-05-14,340.87
2002-05-15,346.2
2002-05-16,344.38
2002-05-17,349.08
2002-05-20,355.39
2002-05-21,349.85
2002-05-22,344.92
2002-05-23,347.72
2002-05-24,341.37
2002-05-27,345.42
2002-05-29,335.51
2002-05-30,336.47
2002-05-31,333.61
2002-06-03,333.75
2002-06-04,326.14
2002-06-05,328.65
2002-06-06,334.52
2002-06-07,330.15
2002-06-10,338.84
2002-06-11,337.35
2002-06-13,338
2002-06-14,330.68
2002-06-17,327.51
2002-06-18,320.22
2002-06-19,312.27
2002-06-20,307.92
2002-06-21,297.15
2002-06-24,298.06
2002-06-25,300.79
2002-06-26,290.47
2002-06-27,299.82
2002-06-28,304.18
2002-07-01,306.21
2002-07-02,305.6
2002-07-03,300.9
2002-07-04,309.86
2002-07-05,316.25
2002-07-08,316.86
2002-07-09,319.94
2002-07-10,324.24
2002-07-11,318.31
2002-07-12,318.18
2002-07-15,312.55
2002-07-16,308
2002-07-17,312.97
2002-07-18,318.83
2002-07-19,314.57
2002-07-22,305.5
2002-07-23,302.08
2002-07-24,285.98
2002-07-25,285.93
2002-07-26,275.42
2002-07-29,286.08
2002-07-30,286.54
2002-07-31,281.81
2002-08-01,283.52
2002-08-02,280.75
2002-08-05,272.21
2002-08-06,269.55
2002-08-07,280.95
2002-08-08,285.78
2002-08-09,284.57
2002-08-12,283.69
2002-08-13,287.3
2002-08-14,291.14
2002-08-15,297.76
2002-08-16,294.68
2002-08-19,299.95
2002-08-20,304.56
2002-08-21,304.25
2002-08-22,307.54
2002-08-23,303.42
2002-08-26,300.2
2002-08-27,304.19
2002-08-28,303.03
2002-08-29,293.46
2002-08-30,292.23
2002-09-02,287.58
2002-09-03,284.43
2002-09-04,285.31
2002-09-05,286.17
2002-09-06,288.5
2002-09-09,289.64
2002-09-10,294.36
2002-09-11,298.05
2002-09-12,296.62
2002-09-13,290.53
2002-09-16,289.11
2002-09-17,292.51
2002-09-18,284.19
2002-09-19,282.5
2002-09-20,285.39
2002-09-23,289.46
2002-09-24,289.61
2002-09-25,293.9
2002-09-26,298.6
2002-09-27,295.3
2002-09-30,289.96
2002-10-01,288.83
2002-10-02,295.33
2002-10-03,298.67
2002-10-04,303.19
2002-10-07,306.58
2002-10-08,306.89
2002-10-09,306.56
2002-10-10,298.22
2002-10-11,299.24
2002-10-14,296.95
2002-10-15,303.33
2002-10-16,306.4
