Date,Close/Last,Volume,Open,High,Low
11/12/2019,53.51,51150,53.40,53.83,53.215
11/11/2019,53.44,107768,52.57,53.5492,52.57
11/08/2019,52.88,35433,52.38,52.93,52.27
11/07/2019,52.34,52807,52.33,53.0943,52.1176
11/06/2019,52.23,128923,52.20,52.40,51.96
11/05/2019,52.19,104654,52.70,52.71,52.19
11/04/2019,52.60,625181,52.42,52.7195,52.302
11/01/2019,51.92,1935261,51.60,51.94,51.47
10/31/2019,51.47,222354,51.61,51.708,50.9027
10/30/2019,51.50,48744,51.39,51.635,51.17
10/29/2019,51.36,40043,52.00,52.00,51.35
10/28/2019,52.54,58038,51.90,52.73,51.90
10/25/2019,51.61,73307,49.98,51.64,49.98
10/24/2019,50.31,37795,49.69,50.3299,49.641
10/23/2019,48.75,26722,48.85,49.34,48.60
10/22/2019,49.03,27663,49.83,49.95,49.00
10/21/2019,49.75,59113,49.26,49.7962,49.21
10/18/2019,49.05,31305,50.35,50.41,48.4613
10/17/2019,50.41,41298,50.17,50.45,50.17
10/16/2019,49.93,112916,50.34,50.34,49.77
10/15/2019,50.63,94189,49.71,50.7601,49.71
10/14/2019,49.61,58953,49.20,49.7063,49.20
10/11/2019,49.30,57694,49.21,49.82,49.21
10/10/2019,48.45,37575,48.25,48.75,48.1001
10/09/2019,48.29,43450,47.81,48.4707,47.81
10/08/2019,47.47,54447,47.95,48.15,47.47
10/07/2019,48.6595,19033,48.43,48.93,48.17
10/04/2019,48.60,45684,48.10,48.60,47.83
10/03/2019,48.05,50965,47.21,48.05,46.37
10/02/2019,47.46,76020,47.73,47.73,47.00
10/01/2019,48.22,42326,48.77,48.98,48.201
09/30/2019,48.67,53444,48.38,48.7497,48.16
09/27/2019,48.24,75289,49.16,49.4112,47.81
09/26/2019,49.20,38063,49.00,49.26,48.4557
09/25/2019,48.83,68134,48.03,48.9036,47.50
09/24/2019,48.16,44601,49.94,49.94,47.98
09/23/2019,49.81,23506,49.88,50.0263,49.62
